Month	OP_UNIQUE_CARRIER	ARR_DELAY	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	LATE_AIRCRAFT_DELAY
1	YX	-12				
8	DL	-15				
5	UA	60	0	0	60	0
2	AA	-3				
1	UA	8				
7	B6	284	0	0	278	6
7	DL	-7				
2	YX	-20				
2	HA	3				
12	DL	2				
5	OO	-12				
11	UA	36	0	0	0	36
2	AA	19	0	0	19	0
8	OO	-10				
3	OO	-7				
6	9E	-17				
1	AS	13				
1	DL	-22				
7	UA	54	0	0	54	0
8	UA	-16				
6	WN	-15				
10	DL	-11				
9	WN	-8				
8	G4	-12				
10	WN	-16				
9	YX	-9				
3	UA	-20				
10	WN	0				
9	WN	-10				
10	WN	-13				
10	G4	18	11	0	7	0
9	DL	257	257	0	0	0
2	UA	-31				
11	WN	-24				
1	WN	4				
10	WN	4				
5	B6	-50				
7	AA	862	0	0	0	862
10	HA	0				
7	UA	-8				
12	WN	-11				
10	WN	0				
11	WN	6				
9	F9	-16				
3	AA	25	0	0	25	0
11	OO	-5				
12	YX	3				
7	WN	-4				
10	OO	-24				
6	OH	-4				
4	DL	19	11	0	0	8
8	DL	-11				
11	AA	-6				
10	NK	-33				
10	F9	11				
12	MQ	-23				
1	DL	-10				
3	DL	-13				
3	NK	97	7	0	90	0
7	WN	-13				
7	DL	-33				
10	AA	4				
5	F9	18	18	0	0	0
12	F9	3				
4	9E	-20				
1	F9	-29				
9	DL	75	75	0	0	0
1	OO	1				
8	OO	19	0	0	19	0
11	MQ	-12				
8	G4	278	45	0	40	193
3	UA	43	0	0	43	0
3	NK	-5				
3	UA	27	12	0	0	15
3	OO	-14				
4	OO	-21				
10	F9	120	120	0	0	0
7	AA	0				
10	B6	16	4	0	0	12
2	OH	-4				
4	AS	12				
7	AA	42	1	0	10	31
4	MQ	-1				
10	UA	7				
1	DL	-2				
5	UA	5				
2	WN	15	12	0	3	0
1	AA	2				
7	DL	-13				
1	WN	-13				
1	OO	-26				
9	WN	-11				
7	WN	-5				
4	YX	-22				
10	MQ	-6				
3	F9	-17				
9	WN	-17				
3	AA	-10				
10	WN	2				
8	YX	-7				
8	NK	47	0	0	47	0
11	UA	12				
9	DL	-19				
8	UA	-7				
4	UA	76	0	0	3	73
2	YX	-30				
2	WN	45	45	0	0	0
8	WN	-1				
9	WN	-12				
8	OO	-22				
5	DL	-1				
12	MQ	22	6	0	0	16
2	OO	9				
3	WN	-9				
1	WN	-24				
5	WN	-12				
10	WN	2				
1	9E	30	0	0	30	0
5	AA	-11				
10	AA	78	2	0	0	76
7	WN	-11				
11	DL	0				
12	AS	-16				
12	B6	-5				
5	F9	48	0	0	6	42
4	UA	9				
10	F9	-12				
1	UA	-8				
4	B6	-7				
4	WN	-15				
1	WN	10				
1	OO	-5				
4	WN	0				
5	B6	-18				
9	UA	-9				
11	UA	-15				
11	F9	-7				
4	B6	-14				
10	MQ	5				
11	DL	-4				
1	WN	-14				
12	AA	-10				
1	NK	12				
1	NK	-13				
1	AA	109	100	0	9	0
10	UA	-6				
11	OO	31	31	0	0	0
7	AA	-6				
2	WN	34	27	0	7	0
7	UA	19	17	0	2	0
3	NK	9				
9	DL	-14				
6	UA	-3				
3	WN	4				
9	UA	-20				
7	WN	-10				
8	OH	8				
2	NK	-14				
2	WN	-10				
1	WN	-31				
7	OH	-1				
10	AS	15	0	0	2	13
7	MQ	8				
1	DL	-14				
11	DL	-8				
9	OH	-34				
9	DL	-4				
11	AA	-1				
7	WN	-7				
9	WN	-14				
5	MQ	-8				
10	DL	-17				
5	OO	-14				
11	WN	-8				
3	AA	5				
2	9E	-20				
1	DL	-9				
5	UA	-4				
11	OO	3				
6	WN	-6				
12	AA	2484	2484	0	0	0
6	AA	4				
4	AA	-10				
11	YX	-11				
9	WN	-6				
11	OO	-33				
10	WN	-12				
7	DL	-31				
1	WN	-3				
5	DL	-7				
2	UA	-6				
4	OO	-13				
7	OO	-9				
5	9E	-22				
12	F9	3				
7	HA	10				
10	DL	-12				
1	F9	-9				
10	DL	1				
6	B6	23	5	0	4	14
5	OO	-19				
8	DL	39	39	0	0	0
10	WN	-22				
9	WN	20	0	0	0	20
6	AA	0				
8	UA	-23				
2	B6	-11				
8	AA	18	0	0	18	0
7	OO	-13				
9	OO	-21				
9	OO	-15				
8	NK	50	0	0	50	0
5	OO	-25				
10	AA	122	25	0	0	97
8	AA	-17				
5	NK	-24				
1	WN	12				
5	DL	-9				
12	WN	8				
8	DL	5				
11	AA	7				
10	G4	-11				
7	DL	-12				
3	OO	-10				
6	OO	39	39	0	0	0
11	WN	-2				
7	AA	29	4	0	3	22
6	F9	8				
8	9E	0				
9	AA	9				
5	OO	18	18	0	0	0
8	WN	-16				
7	AA	-3				
6	WN	-7				
4	DL	-37				
9	WN	-8				
9	WN	-3				
4	WN	21	4	0	0	17
11	AS	-17				
8	DL	16	0	0	16	0
7	NK	140	0	0	0	140
9	AS	-16				
3	OO	-19				
6	9E	-6				
3	OO	21	21	0	0	0
7	UA	-15				
12	AA	-6				
3	NK	29	11	0	7	11
5	F9	12				
8	OO	11				
8	AA	46	12	0	10	24
7	AA	4				
8	YX	-11				
4	DL	6				
10	UA	-17				
12	MQ	-10				
3	WN	21	0	0	0	21
7	OO	2				
12	MQ	-14				
6	UA	-18				
12	9E	-22				
2	OO	-19				
7	UA	31	14	0	17	0
6	AA	18	8	0	10	0
5	UA	-21				
3	AA	7				
3	NK	172	56	0	116	0
3	AS	-16				
3	MQ	10				
3	AA	0				
9	WN	-19				
11	9E	9				
7	WN	7				
4	B6	20	0	0	18	0
9	AS	-3				
6	YX	-4				
2	WN	-15				
7	WN	1				
6	DL	-14				
5	AA	-23				
7	YX	-39				
1	B6	372	303	0	0	69
10	YX	237	0	0	28	209
5	NK	-26				
10	YX	-29				
3	WN	4				
10	NK	119	0	110	9	0
7	AS	-11				
1	OH	-1				
3	WN	49	0	0	49	0
1	AA	-14				
8	WN	11				
12	DL	-28				
2	DL	-13				
8	AA	-21				
10	DL	-22				
11	AA	6				
11	AA	48	48	0	0	0
5	WN	-14				
2	YX	-19				
8	UA	41	0	0	41	0
12	OH	20	0	0	0	20
3	WN	-17				
8	B6	10				
9	DL	-16				
8	OO	-13				
4	F9	-14				
8	B6	17	0	0	17	0
1	WN	-11				
3	DL	-13				
6	NK	-36				
9	UA	6				
2	AA	0				
12	AS	-25				
10	MQ	-15				
3	WN	10				
7	AS	-14				
4	UA	5				
8	DL	1				
8	B6	-29				
11	WN	40	0	0	0	40
6	WN	24	15	0	9	0
5	AS	-6				
10	YX	-21				
11	G4	-23				
3	NK	-16				
5	AA	-15				
11	OO	-18				
9	AA	-12				
12	OO	-25				
7	WN	8				
8	AA	-11				
8	WN	48	0	0	48	0
9	WN	-5				
4	DL	-13				
12	DL	-11				
7	WN	8				
5	9E	-22				
12	WN	-10				
12	B6	-18				
1	YX	-15				
4	OO	7				
11	AA	-32				
1	YX	-10				
10	YX	-15				
1	G4	321	0	306	15	0
5	AA	-18				
11	WN	-1				
12	WN	-50				
8	DL	-5				
10	WN	6				
12	DL	-17				
12	OO	-7				
11	B6	-17				
12	NK	28	15	0	1	12
3	WN	-3				
4	WN	-7				
1	YX	-11				
12	WN	-4				
10	DL	122	0	0	0	122
6	AA	-32				
8	AA	-19				
10	UA	-5				
9	OO	-12				
2	MQ	12				
4	AA	0				
10	YX	-33				
3	OH	6				
5	WN	-20				
11	AA	-16				
2	AA	-1				
7	F9	-17				
3	B6	22	8	0	0	14
5	UA	40	37	0	3	0
1	OH	-19				
11	NK	149	0	0	0	149
12	AA	2				
2	UA	10				
2	UA	13				
7	WN	-10				
